signal,doa,ref_sp
1.4142135,-100.0,3.2086361e-28
1.3976046,-100.0,3.1275829e-28
1.3481678,2.798983,3.0485644e-28
1.2670645,-100.0,2.97153e-28
1.1561995,-100.0,2.8964304e-28
1.0181769,19.874104,2.8232173e-28
0.8562388,-28.838991,2.7518438e-28
0.6741888,5.5146823,2.6822643e-28
0.47630304,28.765089,2.614434e-28
0.2672296,-37.71178,2.5483094e-28
0.05187927,-13.076534,2.4838478e-28
-0.16468962,3.0198312,2.421008e-28
-0.37739018,-33.871014,2.35975e-28
-0.58122635,6.30136,2.3000337e-28
-0.77141035,39.42072,2.241821e-28
-0.94347495,-100.0,2.1850744e-28
0.0,-100.0,2.1297576e-28
0.21610506,-27.443384,2.0758347e-28
0.4271341,4.899161,2.023271e-28
0.6281304,21.058043,1.9720327e-28
0.8143727,41.82195,1.9220866e-28
0.98148656,-42.607727,1.8734008e-28
1.1255466,-23.525366,1.8259435e-28
1.2431691,32.394115,1.7796843e-28
1.3315914,-100.0,1.7345933e-28
1.3887362,-1.4348085,1.6906412e-28
1.4132617,43.853436,1.6477998e-28
1.4045916,-35.724724,1.6060413e-28
1.3629295,9.039179,1.5653387e-28
1.2892541,35.453667,1.5256656e-28
1.1852958,-100.0,1.4869964e-28
1.0534966,-100.0,1.449306e-28
1.4142135,-30.935305,1.4125701e-28
0.6814797,-100.0,1.3767646e-28
-0.7574322,-100.0,1.3418667e-28
-1.4114609,-2.023486,1.3078534e-28
-0.6028742,-28.720314,1.2747027e-28
0.83043617,2.9660373,1.2423932e-28
1.4032135,17.228424,1.2109038e-28
0.5219218,-100.0,1.1802142e-28
-0.90020734,-100.0,1.1503042e-28
-1.3895036,-6.468325,1.1211546e-28
-0.4389376,-100.0,1.0927462e-28
0.96647406,-100.0,1.0650607e-28
1.3703846,43.92059,1.03808e-28
0.35424468,-100.0,1.0117866e-28
-1.0289785,-100.0,9.8616316e-29
-1.3459307,-3.1951947,9.6119324e-29
0.0,-100.0,9.368604e-29
1.2391875,-43.48029,9.131488e-29
1.1942766,-11.193305,8.9004295e-29
-0.08819411,-100.0,8.675278e-29
-1.2792743,-25.219408,8.455887e-29
-1.1447165,5.7463856,8.2421117e-29
0.1760449,-39.57887,8.0338133e-29
1.3143811,-9.880625,7.830855e-29
1.0907001,15.356835,7.6331056e-29
-0.26321036,-43.555397,7.440434e-29
-1.3443712,-18.307348,7.2527145e-29
-1.0324378,4.873577,7.069824e-29
0.34935117,-100.0,6.8916436e-29
1.3691278,-11.686461,6.718056e-29
0.9701564,38.90274,6.5489466e-29
-0.43413198,-100.0,6.3842056e-29
2.3724442,-100.0,6.2237245e-29
0.8455054,-32.524403,6.067398e-29
-0.92029476,-100.0,5.915123e-29
0.21783158,-32.555553,5.7668006e-29
1.8212558,-9.469084,5.622332e-29
0.49478087,-100.0,5.481623e-29
-1.677716,-100.0,5.344581e-29
-1.0250325,21.382261,5.211115e-29
0.82738817,-100.0,5.081139e-29
0.058283955,-100.0,4.9545655e-29
-2.1143324,30.697376,4.831312e-29
-1.7090784,-100.0,4.7112974e-29
0.5219007,-10.146756,4.5944425e-29
0.51036173,41.25407,4.48067e-29
-1.4694309,-100.0,4.3699053e-29
-1.3410119,-8.4016905,4.2620748e-29
0.0,6.9805994,4.1571077e-29
0.23498341,-100.0,4.0549345e-29
0.45459655,-35.345264,3.9554876e-29
0.6237116,7.2722235,3.8587018e-29
0.72829825,-41.685997,3.7645123e-29
0.78536916,15.104946,3.6728576e-29
0.7838887,30.946411,3.583677e-29
0.6849058,-100.0,3.4969107e-29
0.5050446,-100.0,3.412502e-29
0.31319344,-35.11147,3.3303948e-29
0.12023578,-100.0,3.2505346e-29
-0.122938976,-40.907585,3.1728685e-29
-0.39216706,-24.408272,3.0973452e-29
-0.5826967,-100.0,3.0239146e-29
-0.67201793,-100.0,2.952528e-29
-0.74562955,1.3265402,2.8831376e-29
2.3138347,-100.0,2.8156978e-29
1.0801386,-100.0,2.7501636e-29
0.2550387,-43.41509,2.6864917e-29
0.9374596,-30.511019,2.6246396e-29
-0.00043530823,9.556234,2.564566e-29
-0.9430098,31.53374,2.5062313e-29
0.48030737,-24.39011,2.4495965e-29
0.99788785,-8.46943,2.3946241e-29
0.09780915,18.989777,2.3412772e-29
0.8414981,-100.0,2.2895205e-29
1.1784521,-100.0,2.2393195e-29
-0.67092186,30.794138,2.1906407e-29
-1.1644193,-100.0,2.1434518e-29
-0.4188463,-100.0,2.0977211e-29
-1.3437285,-8.258317,2.0534182e-29
-1.5195583,-100.0,2.0105138e-29
0.0,-100.0,1.9689787e-29
-1.1004248,10.942963,1.9287857e-29
-0.014132708,-100.0,1.8899077e-29
0.09657816,-100.0,1.8523188e-29
-0.51316786,17.36929,1.8159938e-29
1.0178024,-100.0,1.7809085e-29
2.0050745,-2.49025,1.7470393e-29
0.8542878,13.862522,1.7143638e-29
0.9281733,-100.0,1.68286e-29
1.4522108,-39.46003,1.6525067e-29
-0.074786134,11.216186,1.6232837e-29
-0.6042529,-24.246138,1.5951713e-29
0.78004396,11.241659,1.568151e-29
0.61929893,28.587435,1.5422042e-29
0.19784708,-100.0,1.5173138e-29
1.6047356,-100.0,1.4934631e-29
2.3170993,24.730927,1.4706359e-29
0.27069527,-100.0,1.448817e-29
-0.63767743,-34.390995,1.4279919e-29
1.5302106,41.732353,1.4081462e-29
0.63061774,-33.58315,1.389267e-29
-1.3816476,-7.114577,1.3713413e-29
-0.09376905,11.139479,1.3543571e-29
0.2915086,-100.0,1.3383031e-29
-1.3642682,-100.0,1.3231683e-29
-1.060116,-0.93335164,1.3089425e-29
-0.2097483,-100.0,1.2956163e-29
-0.67746335,-13.474159,1.2831803e-29
-0.5651078,40.38016,1.2716265e-29
-0.19292903,-27.401165,1.26094696e-29
-0.009702878,-10.65703,1.25113435e-29
0.7328593,5.065069,1.2421821e-29
0.0,-23.736929,1.234084e-29
0.20512936,6.3085475,1.2268347e-29
0.18424481,22.310114,1.22042916e-29
1.099227,-41.309227,1.214863e-29
1.0150054,0.11871184,1.2101324e-29
-0.120183125,19.0975,1.20623415e-29
0.9259015,-100.0,1.2031654e-29
1.5104747,-37.498856,1.2009241e-29
-0.6694178,18.16504,1.1995086e-29
-0.5344709,-100.0,1.1989179e-29
1.2072169,15.263715,1.1991514e-29
-0.7401736,42.584385,1.2002092e-29
-2.0080059,-4.1894636,1.2020919e-29
0.3407055,20.001474,1.2048006e-29
-0.056987885,40.705067,1.208337e-29
-2.160827,-15.789424,1.2127035e-29
1.4142135,12.3425255,1.21790265e-29
0.17340408,35.657722,1.2239379e-29
-1.3716896,-100.0,1.2308132e-29
-0.5097841,-100.0,1.23853305e-29
1.246675,14.820653,1.2471024e-29
0.81550676,-26.768042,1.2565268e-29
-1.046688,-10.161456,1.2668125e-29
-1.0721865,21.139431,1.2779663e-29
0.78375524,-100.0,1.2899954e-29
1.2643871,-100.0,1.3029077e-29
-0.47368908,16.434475,1.3167118e-29
-1.38055,-100.0,1.3314166e-29
0.13513623,-100.0,1.347032e-29
1.4136896,27.050644,1.363568e-29
0.21154344,-100.0,1.3810358e-29
-1.3618127,-4.8824983,1.3994465e-29
0.0,42.160255,1.4188126e-29
-1.4035423,-100.0,1.4391468e-29
-0.34419125,-40.238766,1.4604623e-29
1.3191361,28.80881,1.4827733e-29
0.66768354,-100.0,1.5060945e-29
-1.1553998,-100.0,1.5304413e-29
-0.95102274,-24.591198,1.5558297e-29
0.9221801,-100.0,1.5822765e-29
1.1771693,-100.0,1.6097991e-29
-0.6335024,-8.876039,1.6384155e-29
-1.3325235,-38.66987,1.668145e-29
0.30672714,-20.555826,1.6990068e-29
1.4077423,18.196266,1.7310213e-29
0.038494073,8.11336,1.7642099e-29
-1.3983023,21.928406,1.7985941e-29
-0.38140032,37.14338,1.8341968e-29
2.3079739,-100.0,1.8710414e-29
0.6858846,-10.426973,1.9091522e-29
-0.21065523,35.692566,1.9485544e-29
0.5562308,-100.0,1.9892738e-29
-0.16938768,-4.2002563,2.0313371e-29
0.40927088,28.983004,2.0747724e-29
1.4182293,-33.851997,2.1196081e-29
-0.65629643,-14.794903,2.1658737e-29
